PUID,SOLUTION
16684,0
16685,0
16686,0
16775,0
16776,0
16777,0
16780,0
16783,0
16883,0
16884,0
16885,1
16886,0
16887,0
16888,1
16889,0
16890,0
16891,0
16892,0
16893,0
16894,0
16895,0
16896,0
16897,0
16898,0
16899,0
16900,0
16901,0
16902,0
16903,0
16904,0
16905,0
16906,1
16907,0
16908,0
16909,0
16910,1
16911,1
16912,0
16913,1
16914,0
16915,0
16916,0
16917,0
16918,0
16919,1
16920,0
16921,0
16922,1
16923,0
16924,0
16925,0
16926,0
16927,0
16928,0
16929,1
16930,0
16931,0
16932,1
16933,0
16934,0
16935,0
16936,0
16937,1
16938,0
16939,0
16940,0
16941,0
16942,0
16953,0
16955,0
16956,1
16957,0
16958,1
16959,0
16960,0
16961,1
16962,0
16963,0
16964,0
16965,0
16966,0
16967,0
16968,0
16969,0
16970,0
16971,0
16972,1
16973,0
16974,0
16975,1
16976,1
16977,0
16978,1
17060,0
17065,0
17066,0
17067,0
17068,0
17069,0
17070,0
17071,0
17072,0
17073,0
17074,1
17173,0
17174,0
17175,0
17176,0
17177,1
17178,0
17179,0
17180,0
17181,0
17182,0
17183,0
17184,0
17185,0
17186,0
17187,0
17188,1
17189,0
17190,0
17191,0
17192,0
17193,0
17194,0
17195,0
17196,0
17197,0
17198,0
17199,0
17200,0
17201,0
17202,0
17203,0
17204,0
17205,1
17206,1
17207,1
17208,0
17209,0
17210,0
17211,0
17212,1
17213,1
17214,0
17215,1
17216,0
17217,1
17218,0
17219,1
17220,1
17221,1
17222,1
17223,1
17224,0
17225,0
17226,0
17227,0
17228,0
17229,0
17230,0
17231,0
17232,0
17242,0
17243,0
17244,0
17245,1
17246,0
17247,1
17248,0
17249,0
17250,0
17251,0
17252,0
17253,0
17254,1
17255,0
17256,0
17257,0
17258,0
17259,0
17260,0
17261,1
17262,1
17263,0
17264,0
17265,0
17266,0
17267,0
17268,0
17269,0
17270,0
17273,1
17348,0
17349,0
17350,1
17351,0
17352,0
17353,1
17354,0
17355,0
17356,0
17357,0
17358,1
17359,0
17360,0
17361,0
17362,0
17363,0
17364,0
17464,0
17465,0
17466,1
17467,0
17468,0
17469,0
17470,1
17471,1
17472,0
17473,0
17474,0
17475,0
17476,0
17477,1
17478,0
17479,0
17480,0
17481,0
17482,0
17483,0
17484,0
17485,0
17486,1
17487,0
17488,0
17489,0
17490,0
17491,0
17492,0
17493,0
17494,0
17495,0
17496,0
17497,0
17498,0
17499,0
17500,1
17501,0
17502,1
17503,0
17504,0
17505,0
17506,0
17507,1
17508,0
17509,0
17510,0
17511,0
17512,0
17513,0
17514,1
17515,1
17516,0
17517,1
17518,0
17519,0
17520,0
17521,0
17522,1
17523,0
17524,0
17532,0
17533,0
17534,0
17535,0
17536,0
17537,0
17538,0
17539,0
17540,1
17541,0
17542,0
17543,0
17544,0
17545,0
17546,0
17547,0
17548,0
17549,0
17550,0
17551,0
17552,0
17553,0
17554,0
17555,0
17556,0
17557,0
17558,0
17559,0
17560,1
17561,0
17562,0
17563,0
17637,0
17638,1
17639,0
17640,0
17641,0
17642,0
17643,0
17644,0
17645,0
17646,0
17647,0
17648,0
17649,0
17650,0
17651,0
17652,0
17653,0
17654,0
17655,0
17755,0
17756,0
17757,0
17758,0
17759,0
17760,0
17761,0
17762,0
17763,1
17764,1
17765,0
17766,0
17767,1
17768,0
17769,1
17770,0
17771,1
17772,0
17773,1
17774,0
17775,1
17776,0
17777,0
17778,0
17779,0
17780,0
17781,0
17782,0
17783,0
17784,0
17785,1
17786,0
17787,1
17788,0
17789,0
17790,1
17791,1
17792,0
17793,1
17794,1
17795,0
17796,0
17797,0
17798,0
17799,1
17800,1
17801,0
17802,0
17803,1
17804,0
17805,0
17806,1
17807,0
17808,0
17809,0
17810,0
17811,1
17812,0
17813,1
17814,1
17815,1
17816,0
17817,0
17818,0
17819,0
17820,0
17821,0
17822,1
17823,0
17824,0
17825,1
17826,1
17827,0
17828,0
17829,1
17830,0
17831,0
17832,0
17833,0
17834,0
17835,0
17836,0
17837,0
17838,0
17839,0
17840,0
17841,1
17842,0
17843,0
17844,0
17845,0
17846,0
17847,0
17848,0
17849,1
17850,1
17851,0
17852,0
17853,0
17879,0
17880,0
17926,0
17927,0
17928,0
17929,0
17930,1
17931,0
17932,0
17933,0
17934,0
17935,0
17936,0
17937,0
17938,1
17939,0
17940,1
17941,0
17942,0
17943,1
17944,0
17945,0
17946,1
18044,0
18045,0
18046,0
18047,1
18048,0
18049,0
18050,0
18051,0
18052,0
18053,0
18054,0
18055,0
18056,1
18057,0
18058,0
18059,1
18060,0
18061,0
18062,0
18063,0
18064,0
18065,0
18066,0
18067,0
18068,0
18069,0
18070,1
18071,0
18072,0
18073,0
18074,0
18075,0
18076,1
18077,0
18078,0
18079,0
18080,0
18081,0
18082,0
18083,1
18084,0
18085,0
18086,0
18087,0
18088,0
18089,0
18090,0
18091,0
18092,0
18093,0
18094,0
18095,1
18096,0
18097,1
18098,0
18099,1
18100,0
18101,0
18102,0
18103,0
18104,0
18105,0
18106,0
18107,0
18108,0
18109,0
18110,0
18111,0
18112,0
18113,0
18114,1
18115,0
18116,0
18117,0
18118,1
18119,0
18120,0
18121,0
18122,0
18123,0
18124,0
18125,0
18126,0
18127,0
18128,0
18129,0
18130,0
18131,0
18132,0
18133,0
18134,0
18135,0
18136,0
18137,1
18138,0
18139,0
18140,0
18141,0
18142,0
18143,0
18144,0
18167,0
18168,0
18169,0
18170,0
18171,0
18174,0
18215,0
18216,0
18217,0
18218,0
18219,0
18220,0
18221,0
18222,0
18223,1
18224,0
18225,0
18226,1
18227,0
18228,0
18229,1
18230,1
18231,0
18232,1
18233,0
18234,0
18235,0
18236,0
18237,0
18240,0
18241,0
18242,0
18243,0
18335,0
18336,0
18337,0
18338,0
18339,0
18340,0
18341,0
18342,0
18343,1
18344,0
18345,0
18346,0
18347,0
18348,0
18349,0
18350,0
18351,0
18352,1
18353,0
18354,0
18355,0
18356,0
18357,0
18358,0
18359,0
18360,0
18361,0
18362,0
